
// Comments The amount of the lines is arbitrary
// The last line should contain the names of the satellites 
// with the cascades
//      q      r      s     t
0.5	0.5    0.10   0.02  0.01
1.0     0.84   0.17   0.03  0.02
2.0	1.10   0.23   0.04  0.03 	
4.0	1.26   0.26   0.05  0.04	
10.0    1.45   0.30   0.06  0.05


