128 ! Wave(Fixed by MZ) Es(cm-1) Ar  Aa  F2  Dielectronic Satellites (AUTOSTRUCTURE)Diel Satelites Argon n=3
3.969145	22108610	9.34E-02	1.06E-03	1.12E-03	6	1s2p3d(4P5/2)-1s(2)3d(2D3/2)
3.969567	22108610	1.77E-04	1.06E-03	2.13E-06	6	1s2p3d(4P5/2)-1s(2)3d(2D5/2)
3.970032	22068170	8.17E-01	3.05E-01	6.19E-01	4	1s2s3d(2D3/2)-1s(2)3p(2P1/2)
3.970629	21993230	3.50E-01	9.67E-04	7.97E-04	4	1s2s3p(2P3/2)-1s(2)3s(2S1/2)
3.97071		22063850	8.14E-01	1.64E+00	9.61E-01	4	1s2p3p(2D3/2)-1s(2)3p(2P1/2)
3.970761	22098330	1.40E+00	6.36E-03	2.48E-02	6	1s2p3d(2F5/2)-1s(2)3d(2D3/2)
3.97096		22070360	9.99E-01	2.94E-01	1.06E+00	6	1s2s3d(2D5/2)-1s(2)3p(2P3/2)
3.971184	22098330	4.50E-01	6.36E-03	7.99E-03	6	1s2p3d(2F5/2)-1s(2)3d(2D5/2)
3.971191	22095590	2.54E-01	1.12E+00	5.84E-02	2	1s2p3s(2P1/2)-1s(2)3d(2D3/2)
3.971304	22068170	1.01E-01	3.05E-01	7.66E-02	4	1s2s3d(2D3/2)-1s(2)3p(2P3/2)
3.971475	22096470	1.17E-02	4.69E-03	6.38E-04	8	1s2p3d(4D7/2)-1s(2)3d(2D5/2)
3.971759	22091980	8.19E-03	7.18E-01	2.45E-03	4	1s2p3s(2P3/2)-1s(2)3d(2D3/2)
3.97188		21985270	2.30E-02	4.22E-02	1.34E-03	2	1s2s3p(2P1/2)-1s(2)3s(2S1/2)
3.971983	22063850	6.69E-01	1.64E+00	7.90E-01	4	1s2p3p(2D3/2)-1s(2)3p(2P3/2)
3.972182	22091980	3.22E-01	7.18E-01	9.60E-02	4	1s2p3s(2P3/2)-1s(2)3d(2D5/2)
3.972709	22085940	7.81E-02	1.64E-03	1.05E-03	6	1s2p3d(4D5/2)-1s(2)3d(2D3/2)
3.973132	22085940	7.90E-02	1.64E-03	1.06E-03	6	1s2p3d(4D5/2)-1s(2)3d(2D5/2)
3.973222	22082680	3.57E-02	4.76E-04	8.36E-05	4	1s2p3d(4D3/2)-1s(2)3d(2D3/2)
3.973405	22081510	7.89E-02	5.68E-03	1.01E-03	2	1s2p3d(4D1/2)-1s(2)3d(2D3/2)
3.973645	22082680	1.71E-02	4.76E-04	4.01E-05	4	1s2p3d(4D3/2)-1s(2)3d(2D5/2)
3.974041	22042680	1.95E-03	2.14E-02	9.70E-04	4	1s2p3p(4P3/2)-1s(2)3p(2P1/2)
3.974677	22046730	4.69E-02	1.08E-01	9.99E-02	6	1s2p3p(4P5/2)-1s(2)3p(2P3/2)
3.975316	22042680	2.84E-03	2.14E-02	1.41E-03	4	1s2p3p(4P3/2)-1s(2)3p(2P3/2)
3.975881	22030990	7.16E-02	1.20E-02	5.20E-03	4	1s2p3p(4S3/2)-1s(2)3p(2P1/2)
3.976293	22028380	1.35E-02	1.37E-03	1.81E-04	2	1s2p3p(4P1/2)-1s(2)3p(2P1/2)
3.976804	22059930	2.16E-01	6.38E-04	1.43E-03	6	1s2p3d(2D5/2)-1s(2)3d(2D3/2)
3.976852	22059630	8.21E-02	2.06E-02	1.37E-02	4	1s2p3d(2D3/2)-1s(2)3d(2D3/2)
3.977157	22030990	7.07E-03	1.20E-02	5.14E-04	4	1s2p3p(4S3/2)-1s(2)3p(2P3/2)
3.977228	22059930	6.56E-02	6.38E-04	4.34E-04	6	1s2p3d(2D5/2)-1s(2)3d(2D5/2)
3.977276	22059630	3.26E-02	2.06E-02	5.44E-03	4	1s2p3d(2D3/2)-1s(2)3d(2D5/2)
3.977569	22028380	3.23E-03	1.37E-03	4.34E-05	2	1s2p3p(4P1/2)-1s(2)3p(2P3/2)
3.978492	22051920	5.56E-02	8.95E-03	4.10E-02	8	1s2p3d(4F7/2)-1s(2)3d(2D5/2)
3.978943	22011570	2.82E-01	2.02E-03	6.48E-04	2	1s2p3p(2P1/2)-1s(2)3p(2P1/2)
3.979031	21939870	8.06E-02	1.67E-02	2.63E-02	4	1s2p3s(4P3/2)-1s(2)3s(2S1/2)
3.979328	22009130	1.64E-01	2.34E-02	1.03E-02	4	1s2p3p(2P3/2)-1s(2)3p(2P1/2)
3.979642	22041940	9.05E-02	5.93E-03	2.13E-02	6	1s2p3d(4F5/2)-1s(2)3d(2D3/2)
3.979747	22041280	4.41E-03	3.60E+00	1.39E-02	4	1s2p3s(2P3/2)-1s(2)3d(2D3/2)
3.980066	22041940	2.09E-02	5.93E-03	4.92E-03	6	1s2p3d(4F5/2)-1s(2)3d(2D5/2)
3.980171	22041280	1.34E-02	3.60E+00	4.22E-02	4	1s2p3s(2P3/2)-1s(2)3d(2D5/2)
3.980221	22011570	1.75E-02	2.02E-03	4.01E-05	2	1s2p3p(2P1/2)-1s(2)3p(2P3/2)
