# Te,keV	W_Line		X_Line          Y_Line          Z_Line
#
#  !!!!!!!! Please dont change the first line in file ......!!!!!!!!!!!!!
#   The name of the line should coincide with the name of fit file !!
#
# The calculation of Effective excitation rates are based on R-matrix calculations from ADAS
# All the transitions except for between n=2 are taken from R-matrix calculatios .
# The transitions between n=2 are taken fromthe book of "Relativistic calculations of transitions
# amplitudes in the He- isoelectronic sequence" Johnson, Plante Sapirstein. Adv in Ato, Mol and Opt physic
# vol 35,1995
#
7.20	9.9502E-12	2.7093E-13	5.0415E-13	9.9689E-13
7.30	9.9979E-12	2.6848E-13	5.0202E-13	9.8870E-13
7.40	1.0044E-11	2.6602E-13	4.9989E-13	9.8060E-13
7.50	1.0089E-11	2.6363E-13	4.9776E-13	9.7255E-13
7.60	1.0133E-11	2.6125E-13	4.9570E-13	9.6461E-13
7.70	1.0177E-11	2.5892E-13	4.9360E-13	9.5676E-13
7.80	1.0218E-11	2.5659E-13	4.9154E-13	9.4902E-13
7.90	1.0258E-11	2.5431E-13	4.8948E-13	9.4132E-13
8.00	1.0297E-11	2.5205E-13	4.8746E-13	9.3374E-13
8.10	1.0335E-11	2.4983E-13	4.8546E-13	9.2623E-13
8.20	1.0372E-11	2.4764E-13	4.8346E-13	9.1884E-13
8.30	1.0410E-11	2.4548E-13	4.8149E-13	9.1150E-13
8.40	1.0447E-11	2.4332E-13	4.7952E-13	9.0427E-13
8.50	1.0480E-11	2.4124E-13	4.7760E-13	8.9712E-13
8.60	1.0513E-11	2.3916E-13	4.7570E-13	8.9009E-13
8.70	1.0547E-11	2.3709E-13	4.7380E-13	8.8311E-13
8.80	1.0577E-11	2.3508E-13	4.7194E-13	8.7624E-13
8.90	1.0609E-11	2.3308E-13	4.7007E-13	8.6946E-13
9.00	1.0642E-11	2.3111E-13	4.6825E-13	8.6274E-13
9.10	1.0669E-11	2.2916E-13	4.6643E-13	8.5614E-13
9.20	1.0700E-11	2.2725E-13	4.6462E-13	8.4960E-13
9.30	1.0725E-11	2.2537E-13	4.6286E-13	8.4316E-13
9.40	1.0755E-11	2.2350E-13	4.6111E-13	8.3681E-13
9.50	1.0779E-11	2.2168E-13	4.5937E-13	8.3055E-13
9.60	1.0807E-11	2.1987E-13	4.5767E-13	8.2436E-13
9.70	1.0833E-11	2.1808E-13	4.5598E-13	8.1825E-13
9.80	1.0857E-11	2.1632E-13	4.5430E-13	8.1222E-13
9.90	1.0881E-11	2.1460E-13	4.5265E-13	8.0625E-13
