54568.77,80253.0,52870.2,79608.43,103356.555,11170.5205
66879.086,85902.984,62250.43,87408.82,109611.555,44361.88
76079.734,91329.75,70261.05,88994.77,112263.164,59731.027
77019.33,91447.68,71042.14,89026.43,112039.35,64124.22
78684.87,92466.12,72510.33,89079.46,112182.21,66828.74
78467.24,92705.76,72570.055,87421.13,111224.84,61613.863
78944.52,93648.57,73420.89,85168.164,110011.68,54441.805
78109.62,92880.75,72546.35,84130.805,109188.81,53391.71
71834.445,88005.95,66325.57,86347.99,109878.9,54038.836
12202.837,14497.386,11764.819,14504.785,16160.186,4355.7285
14118.89,15241.733,13251.218,15425.293,16956.768,10447.129
15232.917,15766.778,14257.414,15686.395,17395.652,13479.639
15312.696,15828.339,14372.592,15756.991,17409.916,14373.496
15485.417,15907.955,14498.111,15781.616,17456.734,14897.091
15403.538,15885.639,14439.911,15660.183,17385.441,13922.483
15429.122,15897.573,14523.466,15446.451,17317.582,12579.317
15335.335,15817.649,14433.386,15351.34,17237.973,12351.033
14908.504,15679.427,13929.544,15662.476,17293.201,12470.35
95100.06,126134.08,91582.43,124924.63,171925.1,26366.924
109755.984,134993.0,102791.08,137670.53,182125.64,86095.32
121324.02,144481.08,112632.305,139960.61,186246.19,107533.79
122600.43,144775.86,113669.016,140062.03,185816.05,113792.33
124767.4,146668.36,115546.625,140106.77,185941.67,116951.9
124501.01,147404.08,115590.53,137262.33,184190.11,110818.39
125110.664,149501.97,116714.65,133463.48,181847.6,101691.19
123966.61,148221.94,115515.695,131808.1,180392.02,100040.72
116655.41,139143.3,108589.125,135869.45,182512.94,100399.414
104103.47,162931.47,101223.33,161688.39,201992.39,17236.057
131986.02,174544.6,122541.44,177397.66,214334.34,79280.875
151817.08,184748.58,139824.95,180744.12,219701.52,111842.68
153961.94,184859.3,141480.06,180776.34,219338.33,121075.766
157856.06,186680.34,144741.2,180908.33,219759.58,127183.82
157434.14,186868.38,144968.53,177628.19,217995.08,115436.02
158699.56,188215.16,146964.08,173109.06,215904.19,99685.86
156799.55,186714.39,144988.52,170965.27,214358.38,97592.23
142151.34,178181.36,130967.016,175190.48,214979.02,99271.04
382145.94,557011.06,370350.8,555370.0,684102.25,95274.31
480478.6,591607.25,446013.94,598948.44,724190.9,309074.84
546313.2,620098.56,505040.94,610913.6,741722.9,413929.66
552768.4,620866.75,510347.16,611664.06,740679.1,445454.88
563910.56,626366.25,520663.16,612567.75,742169.7,465410.38
562499.06,626978.3,521086.8,604689.3,736372.94,427311.12
565467.5,631338.75,526760.0,593620.3,729171.44,377178.62
559797.5,626514.7,520572.22,587802.4,723986.44,370115.28
516720.0,603634.2,476831.12,599360.56,728447.9,374604.66
40708.72,52625.086,39120.645,52200.44,68518.93,14077.667
46442.01,56102.695,43508.957,57125.89,72397.64,38142.203
50998.2,59639.71,47378.78,58079.984,74080.27,46222.98
51500.395,59779.676,47798.348,58172.484,73979.375,48700.363
52343.23,60477.723,48539.12,58205.5,74079.586,49884.83
52240.797,60708.855,48542.44,57161.926,73495.32,47650.984
52469.043,61435.277,49001.883,55715.07,72741.38,44359.875
52030.61,60951.77,48528.863,55069.582,72216.984,43696.477
49338.96,57865.63,45952.734,56738.082,72919.85,43732.78
14020.742,35796.117,13714.567,34669.387,64114.62,2097.8086
19992.375,39831.87,18162.768,41286.348,68860.05,9595.008
25780.844,45155.277,22930.662,41791.863,70359.1,14423.579
26524.104,45207.945,23457.361,41638.5,69910.805,15871.44
27944.83,46335.055,24573.402,41528.4,69815.06,16945.775
27960.418,46936.914,24761.602,39697.996,68730.83,14916.712
28587.668,48522.375,25575.566,37334.875,67290.266,12422.099
27985.043,47869.938,24975.895,36418.54,66525.14,12131.1455
22583.71,41152.875,20091.516,38409.598,67511.67,12442.294
32214.877,50427.38,31158.467,49752.043,68140.58,8718.554
39399.484,54348.324,36623.047,55530.03,72370.375,27655.494
45315.95,58474.55,41565.785,56439.168,74110.75,35284.395
46005.543,58578.336,42124.54,56437.5,73929.62,37769.418
47265.418,59362.31,43153.367,56437.152,74006.34,39289.5
47164.13,59619.9,43252.56,55099.176,73324.67,36416.977
47624.156,60434.71,43937.31,53264.0,72456.79,32770.348
47043.023,59899.246,43335.383,52485.355,71884.64,32213.014
42512.98,55899.996,39118.86,54266.33,72388.86,32429.07
44674.12,61463.535,43120.02,60908.65,83064.61,12796.596
52798.473,65791.24,49334.25,67072.79,88047.87,38610.133
58805.86,70335.81,54520.89,68193.91,90056.836,49574.094
59432.445,70483.97,55062.637,68244.97,89844.586,52831.18
60547.824,71380.164,56007.086,68270.375,89897.68,54683.566
60385.98,71692.99,56027.953,66902.35,89051.35,51139.07
60717.5,72669.984,56581.12,65097.438,87935.44,46216.617
60136.473,72052.516,55991.83,64302.36,87233.85,45417.363
56296.668,67730.81,52259.145,66197.31,88186.77,45750.164
170090.9,210518.31,163425.53,209469.2,259364.73,55276.2
