pulse,time_s
13658,0.03
13658,0.07999999999999999
13658,0.09
13658,0.09999999999999999
13659,0.06999999999999999
13659,0.09999999999999999
13661,0.06999999999999999
13661,0.07999999999999999
13661,0.09
13661,0.09999999999999999
13662,0.03
13662,0.07999999999999999
13662,0.09
13662,0.09999999999999999
13663,0.03
13663,0.07999999999999999
13663,0.09
13663,0.09999999999999999
13664,0.06999999999999999
13664,0.07999999999999999
13664,0.09
13664,0.09999999999999999
13665,0.03
13665,0.07999999999999999
13665,0.09
13666,0.06999999999999999
13666,0.07999999999999999
13666,0.09
13666,0.09999999999999999
13667,0.03
13667,0.07999999999999999
13668,0.03
13668,0.07999999999999999
13668,0.09
13668,0.09999999999999999
13669,0.06999999999999999
13669,0.07999999999999999
13669,0.09
13669,0.09999999999999999
13670,0.06999999999999999
13670,0.07999999999999999
13670,0.09
13670,0.09999999999999999
13671,0.06999999999999999
13671,0.07999999999999999
13671,0.09
13671,0.09999999999999999
13672,0.03
13672,0.07999999999999999
13672,0.09
13672,0.09999999999999999
13673,0.03
13673,0.07999999999999999
13673,0.09
13673,0.09999999999999999
13680,0.03
13680,0.07999999999999999
13681,0.03
13681,0.06999999999999999
13681,0.07999999999999999
13681,0.09
13681,0.09999999999999999
13682,0.03
13682,0.06999999999999999
13682,0.07999999999999999
13682,0.09
13682,0.09999999999999999
13683,0.06999999999999999
13683,0.07999999999999999
13683,0.09
13683,0.09999999999999999
13684,0.06999999999999999
13684,0.09
13684,0.09999999999999999
13685,0.039999999999999994
13685,0.06999999999999999
13685,0.07999999999999999
13685,0.09
13685,0.09999999999999999
13686,0.06999999999999999
13686,0.09
13686,0.09999999999999999
13687,0.06999999999999999
13687,0.07999999999999999
13687,0.09
13687,0.09999999999999999
13688,0.039999999999999994
13688,0.06999999999999999
13688,0.09
13689,0.039999999999999994
13689,0.06999999999999999
13689,0.09
13689,0.09999999999999999
13690,0.039999999999999994
13690,0.06999999999999999
13690,0.09
13690,0.09999999999999999
13691,0.06999999999999999
13691,0.07999999999999999
13691,0.09999999999999999
13692,0.03
13692,0.07999999999999999
13692,0.09
13693,0.03
13693,0.07999999999999999
13693,0.09
13694,0.039999999999999994
13694,0.06999999999999999
13701,0.07999999999999999
13701,0.09
13701,0.09999999999999999
13706,0.039999999999999994
13706,0.06
13706,0.09
13706,0.09999999999999999
13708,0.03
13708,0.09
13709,0.03
13709,0.09
13710,0.07999999999999999
13711,0.09999999999999999
13712,0.07999999999999999
13712,0.09
13712,0.09999999999999999
13713,0.09999999999999999
