hidden_scaling,train_generations,repeat_idx,model_path,metric_l2_sample_mean_to_true_norm,metric_forward_rmse_norm,last_epoch_loss,last_recon_loss,last_kl_loss
1,50,0,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r0.pt,0.16809835550140775,0.14268782978681727,2.7067378759384155,2.1269049303872243,0.579832883817809
1,50,1,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r1.pt,0.1698357246669612,0.09410001737356528,3.161291182041168,2.6630183032580783,0.4982728362083435
1,50,2,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r2.pt,0.16003627515423627,0.08840660425676586,1.242471890790122,1.1116899592535836,0.13078191024916513
1,50,3,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r3.pt,0.1815376975416922,0.12330096484159137,2.079337418079376,1.8285019738333566,0.25083546340465546
1,50,4,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r4.pt,0.20851201478413736,0.1398652727927581,1.4721700442688805,1.2554165061031068,0.2167535557278565
1,50,5,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r5.pt,0.1849596550937468,0.09562712845156142,1.403174958058766,1.1362866780587606,0.26688827521034647
1,50,6,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r6.pt,0.18880325783181146,0.10792779837603624,1.7538134796278817,1.466336305652346,0.2874771612031119
1,50,7,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r7.pt,0.2046897158021052,0.15650393153733994,1.3734248323099953,1.0940463628087724,0.27937848759549005
1,50,8,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r8.pt,0.1584598973822325,0.11253893414562784,2.7045552219663347,2.2994942324502126,0.40506098525864737
1,50,9,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n50_r9.pt,0.2292382542620407,0.14977801566306664,1.6304626848016466,1.1136221289634705,0.5168405356151717
1,100,0,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r0.pt,0.17823491413584447,0.09098403028470495,0.8740923267144424,0.6548639948551471,0.21922832297591063
1,100,1,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r1.pt,0.15216804340427592,0.07564939468459564,1.4527265956768622,1.31009601858946,0.14263060660316393
1,100,2,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r2.pt,0.18223353119484156,0.09939611371613309,0.8745325987155621,0.6579339767877872,0.21659860817285684
1,100,3,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r3.pt,0.20286057575437413,0.11369269135902142,0.7774942012933584,0.6417944637628702,0.13569973108287042
1,100,4,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r4.pt,0.1640301728858782,0.08628668670335807,1.7072324454784393,1.3938379207482705,0.3133945407775732
1,100,5,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r5.pt,0.14239920273642526,0.07860268108326315,1.2105242885076082,0.8842529150155874,0.3262713752113856
1,100,6,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r6.pt,0.12830500950365586,0.06536308463001428,1.162052523631316,1.0081398017131364,0.15391271489744002
1,100,7,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r7.pt,0.15842473616733874,0.07362218674872711,1.1655785143375397,1.0661874803212972,0.09939103702513072
1,100,8,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r8.pt,0.1481014524486798,0.07462762012887336,1.041905396259748,0.9145973393550286,0.1273080540391115
