pulse,t_idx,t_s,rmse_model_vs_t1d,coverage_t1d_in_model_95,mean_abs_resid_over_t1d_err
13793,0,0.04,179150.6681903346,0.0,1.764043457452338
13793,1,0.041833333333333333,149295.099737079,0.0,2.307204206337511
13793,2,0.043666666666666666,120305.0031590973,0.0,4.101596751028989
13793,3,0.0455,103454.87892882728,0.0,8.290105278414472
13793,4,0.04733333333333333,97746.19738215975,0.0,7.512762685272398
13793,5,0.049166666666666664,92413.16596379598,0.024390243902439025,6.830887180386024
13793,6,0.051000000000000004,93728.89091824711,0.04878048780487805,5.109760207097624
13793,7,0.05283333333333333,95381.40539178492,0.07317073170731707,4.116733540761943
13793,8,0.05466666666666667,96784.10963578349,0.0975609756097561,3.8408082367838303
13793,9,0.056499999999999995,94472.6092317327,0.14634146341463414,3.8117827182225055
13793,10,0.058333333333333334,81329.71534389521,0.1951219512195122,3.2301624998285687
13793,11,0.06016666666666666,76346.95305732888,0.21951219512195122,2.8261948682030273
13793,12,0.062,86774.27362892247,0.21951219512195122,3.1841452106618195
13793,13,0.06383333333333333,93921.3525624112,0.21951219512195122,3.2160637513451196
13793,14,0.06566666666666666,96473.67299774123,0.17073170731707318,2.9101247850037204
13793,15,0.0675,99768.92530870783,0.14634146341463414,2.694098597492004
13793,16,0.06933333333333333,96419.99804200024,0.0975609756097561,2.389876110726769
13793,17,0.07116666666666666,94446.34756106936,0.07317073170731707,2.1524303625378503
13793,18,0.073,90505.83972491042,0.07317073170731707,2.0120807921535357
13793,19,0.07483333333333334,85193.12975926668,0.0975609756097561,1.984154725061015
13793,20,0.07666666666666666,81411.43783784285,0.0975609756097561,1.9893569115050045
13793,21,0.07849999999999999,72988.87903764457,0.24390243902439024,1.7650848778209562
13793,22,0.08033333333333333,61500.10344456722,0.34146341463414637,1.5601366300339972
13793,23,0.08216666666666667,60345.09515167027,0.12195121951219512,1.6917176216232368
13793,24,0.08399999999999999,59581.970846107,0.07317073170731707,1.8599830674682427
13793,25,0.08583333333333333,59093.02817447352,0.12195121951219512,2.000876768542492
13793,26,0.08766666666666667,61888.88190046158,0.12195121951219512,2.096885018566756
13793,27,0.0895,63966.59584233577,0.0975609756097561,2.0580932105813727
13793,28,0.09133333333333332,66808.89224274048,0.14634146341463414,2.134340354786902
13793,29,0.09316666666666666,71701.06456765841,0.1951219512195122,2.379076985943651
13793,30,0.095,78631.16134448796,0.17073170731707318,2.855971931730634
13793,31,0.09683333333333333,73343.41951558691,0.21951219512195122,2.9029669666750615
13793,32,0.09866666666666665,66079.87567056526,0.24390243902439024,2.951773554890035
13793,33,0.10049999999999999,73162.56386162226,0.14634146341463414,3.2323443019620806
13793,34,0.10233333333333333,82020.6367211255,0.17073170731707318,3.131490768753648
13793,35,0.10416666666666666,92505.7778436059,0.17073170731707318,3.115197374071344
13793,36,0.10599999999999998,112516.16182941753,0.1951219512195122,3.3582207831946254
13793,37,0.10783333333333334,137860.9845171037,0.17073170731707318,3.7277525843910837
13793,38,0.10966666666666666,163055.27803498675,0.0975609756097561,4.1855029652237015
13793,39,0.11149999999999999,185730.59657235784,0.0,4.531510719929659
13793,40,0.11333333333333331,207031.52569542042,0.0,4.755670966924952
13793,41,0.11516666666666667,220555.53044122102,0.0,4.78084533855487
13793,42,0.11699999999999999,233894.20228139588,0.0,4.773245257226939
13793,43,0.11883333333333332,237032.56809046282,0.0,4.727128542462302
13793,44,0.12066666666666664,230262.71243451495,0.0,4.63604858533163
13793,45,0.1225,224562.70172888428,0.0,4.534842130911965
13793,46,0.12433333333333332,192789.60855921166,0.0,4.13143887700771
13793,47,0.12616666666666665,162062.52117195725,0.0,3.727684747110607
13793,48,0.128,134397.64261654293,0.0,3.447463868470083
13793,49,0.12983333333333333,108764.5636036358,0.04878048780487805,3.2386968109226895
13793,50,0.13166666666666665,83443.0477851256,0.12195121951219512,2.9421002085111567
13793,51,0.13349999999999998,71890.47212397592,0.17073170731707318,2.53683546715207
13793,52,0.13533333333333333,61736.775219963325,0.1951219512195122,2.197298323760521
13793,53,0.13716666666666666,57100.42349665942,0.24390243902439024,2.1035229782823492
13793,54,0.13899999999999998,57495.84443505233,0.21951219512195122,2.241983398814733
13793,55,0.1408333333333333,59093.541385282086,0.21951219512195122,2.4192843109482474
13793,56,0.14266666666666666,66362.35833957445,0.2682926829268293,2.32267428538459
13793,57,0.1445,75300.19031611404,0.3170731707317073,2.2206002207305042
13793,58,0.14633333333333332,78317.92207968936,0.3170731707317073,1.8113623019910507
