pulse,n_times,mean_rmse,mean_coverage,mean_abs_resid_over_err,status
13793,61,105835.40979131414,0.12754898040783688,3.1776446134621907,ok
13872,61,135557.62820934688,0.23590563774490206,3.2000588330568362,ok
13681,61,205405.32748808438,0.1291483406637345,4.817027542165926,ok
13588,61,112780.20167586756,0.2810875649740104,2.7585807003453855,ok
13861,61,134394.8106862851,0.21391443422630949,3.2223295369208977,ok
12334,61,385619.46784111665,0.109156337465014,2.6891540857951313,ok
14459,61,118789.74333161414,0.31987205117952816,2.663023415919552,ok
13379,61,86345.69305274334,0.15673730507796876,3.55889911547333,ok
14286,61,557354.8036030275,0.06077568972411035,4.8351203743611135,ok
12871,61,155168.2397670607,0.06837265093962415,3.57981143834519,ok
13762,61,69453.28508238668,0.2934826069572171,2.9884903667055034,ok
12278,61,195312.5986532224,0.09156337465013996,3.041326496658189,ok
14402,61,109327.28733185024,0.2634946021591363,2.557570557444846,ok
11228,0,nan,nan,nan,"read_failed: %TREE-W-NNF, Node Not Found"
13903,61,183341.2472140434,0.1883246701319472,3.0141888983221503,ok
13564,61,80185.2886759492,0.2842862854858057,3.8023081600349253,ok
11270,0,nan,nan,nan,"read_failed: %TREE-W-NNF, Node Not Found"
13585,61,128723.1783045109,0.20991603358656535,2.5228738513780704,ok
13829,0,nan,nan,nan,"read_failed: %TREE-E-NODATA, No data available for this node"
12327,61,338475.1924488356,0.09716113554578171,2.4174499696993244,ok
11558,0,nan,nan,nan,"read_failed: %TREE-W-NNF, Node Not Found"
13684,61,108533.11919920555,0.16953218712514995,4.637289705246252,ok
11342,0,nan,nan,nan,"read_failed: %TREE-W-NNF, Node Not Found"
13664,61,182411.20761580317,0.08716513394642143,4.631841643990215,ok
13662,61,111368.36993140166,0.15993602558976405,3.155586142389325,ok
13884,61,199882.07335115407,0.11315473810475811,4.889298843683985,ok
11027,0,nan,nan,nan,"read_failed: %TREE-W-NNF, Node Not Found"
13367,61,153513.37314811785,0.1211515393842463,4.203922787875508,ok
11274,0,nan,nan,nan,"read_failed: %TREE-W-NNF, Node Not Found"
14260,61,113388.82632165152,0.21431427429028388,2.644049524033528,ok
