baseNode,RUN01,,,,,,,,,,,,,,,
Root node,,,,,,,,,,,,,,,,
Root info,,,,,,,,,,,,,,,,
Run name,RUN01,,,,,,,,,,,,,,,
runInfo,,,,,,,,,,,,,,,,
Script info,,,,,,,,,,,,,,,,
Script name,RUN01,,,,,,,,,,,,,,,
scriptNode,RUN01,,,,,,,,,,,,,,,
Tree,bda,,,,,,,,,,,,,,,
Run info,,,,,,,,,,,,,,,,
,,,,Data,,,Time,,,Dimension 1,,,Dimension 2,,,
Node,Node,Node,Data node,Node type,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description
INPUT,WORKFLOW,CXFF_TWS_C,RUN,TEXT,data['INPUT']['WORKFLOW']['CXFF_TWS_C']['RUN'],dimensionless,RUN used for diagnostic,,,,,,,,,
INPUT,WORKFLOW,CXFF_TWS_C,USAGE,TEXT,data['INPUT']['WORKFLOW']['CXFF_TWS_C']['USAGE'],dimensionless,Quantity used in analysis,,,,,,,,,
INPUT,WORKFLOW,DIAGNOSTIC1,,STRUCTURE,,,,,,,,,,,,
INPUT,WORKFLOW,DIAGNOSTIC1,PULSE,NUMERIC,data['INPUT']['WORKFLOW']['DIAGNOSTIC1']['PULSE'],dimensionless,Pulse used for diagnostic,,,,,,,,,
INPUT,WORKFLOW,DIAGNOSTIC1,RUN,TEXT,data['INPUT']['WORKFLOW']['DIAGNOSTIC1']['RUN'],dimensionless,RUN used for diagnostic,,,,,,,,,
INPUT,WORKFLOW,DIAGNOSTIC1,USAGE,TEXT,data['INPUT']['WORKFLOW']['DIAGNOSTIC1']['USAGE'],dimensionless,Quantity used in analysis,,,,,,,,,
INPUT,WORKFLOW,DIAGNOSTIC2,,STRUCTURE,,,,,,,,,,,,
INPUT,WORKFLOW,DIAGNOSTIC2,PULSE,NUMERIC,data['INPUT']['WORKFLOW']['DIAGNOSTIC2']['PULSE'],dimensionless,Pulse used for diagnostic,,,,,,,,,
INPUT,WORKFLOW,DIAGNOSTIC2,RUN,TEXT,data['INPUT']['WORKFLOW']['DIAGNOSTIC2']['RUN'],dimensionless,RUN used for diagnostic,,,,,,,,,
INPUT,WORKFLOW,DIAGNOSTIC2,USAGE,TEXT,data['INPUT']['WORKFLOW']['DIAGNOSTIC2']['USAGE'],dimensionless,Quantity used in analysis,,,,,,,,,
INPUT,,,BURN_FRAC,NUMERIC,data['INPUT']['BURN_FRAC'],dimensionless,Burn in fraction for chains,,,,,,,,,
INPUT,,,DT,NUMERIC,data['INPUT']['DT'],second,Distance between time points,,,,,,,,,
INPUT,,,IMPURITIES,TEXT,data['INPUT']['IMPURITIES'],dimensionless,Names of impurity elements,,,,,,,,,
INPUT,,,ITER,NUMERIC,data['INPUT']['ITER'],dimensionless,Maximum iterations of optimiser,,,,,,,,,
INPUT,,,MAIN_ION,TEXT,data['INPUT']['MAIN_ION'],dimensionless,Name of main ion,,,,,,,,,
INPUT,,,MODEL_KWARGS,TEXT,data['INPUT']['MODEL_KWARGS'],dimensionless,Model key word arguments,,,,,,,,,
INPUT,,,OPT_QUANTITY,TEXT,data['INPUT']['OPT_QUANTITY'],dimensionless,Names of quantities optimised,,,,,,,,,
INPUT,,,PARAM_NAMES,TEXT,data['INPUT']['PARAM_NAMES'],dimensionless,Names of parameters optimised,,,,,,,,,
INPUT,,,PULSE,NUMERIC,data['INPUT']['PULSE'],dimensionless,Pulse number,,,,,,,,,
INPUT,,,TEND,NUMERIC,data['INPUT']['TEND'],second,End of time vector,,,,,,,,,
INPUT,,,TSTART,NUMERIC,data['INPUT']['TSTART'],second,Start of time vector,,,,,,,,,
METADATA,,,,STRUCTURE,,,,,,,,,,,,
METADATA,,,EQUIL,TEXT,data['METADATA']['EQUIL'],dimensionless,Equilibrium used,,,,,,,,,
METADATA,,,GITCOMMIT,TEXT,data['METADATA']['GITCOMMIT'],dimensionless,Commit ID used for run,,,,,,,,,
METADATA,,,USER,TEXT,data['METADATA']['USER'],dimensionless,Username of owner,,,,,,,,,
OPTIMISATION,,,,STRUCTURE,,,,,,,,,,,,
OPTIMISATION,,,ACCEPT_FRAC,NUMERIC,data['OPTIMISATION']['ACCEPT_FRAC'],dimensionless,Fraction of samples accepted by optimiser,,,,,,,,,
OPTIMISATION,,,AUTO_CORR,NUMERIC,data['OPTIMISATION']['AUTO_CORR'],dimensionless,Auto-correlation,,,,,,,,,
OPTIMISATION,,,GELMAN_RUBIN,NUMERIC,data['OPTIMISATION']['GELMAN_RUBIN'],dimensionless,Gelmin-Rubin convergence diagnostic,,,,,,,,,
OPTIMISATION,,,POST_SAMPLE,NUMERIC,data['OPTIMISATION']['POST_SAMPLE'],dimensionless,Posterior probability samples,,,,,,,,,
OPTIMISATION,,,PRIOR_SAMPLE,NUMERIC,data['OPTIMISATION']['PRIOR_SAMPLE'],dimensionless,Prior samples,,,,,,,,,
PHANTOMS,,,,STRUCTURE,,,,,,,,,,,,
PHANTOMS,,,FLAG,TEXT,data['PHANTOMS']['FLAG'],dimensionless,True if phantoms used,,,,,,,,,
PHANTOMS,,,NE,SIGNAL,data['PHANTOMS']['NE'],1 / meter ** 3,Electron density,,,,,,,,,
PHANTOMS,,,NI,SIGNAL,data['PHANTOMS']['NI'],1 / meter ** 3,Ion density,,,,,,,,,
PHANTOMS,,,NIZ1,SIGNAL,data['PHANTOMS']['NIZ1'],1 / meter ** 3,Impurity density of Z1,,,,,,,,,
PHANTOMS,,,NIZ2,SIGNAL,data['PHANTOMS']['NIZ2'],1 / meter ** 3,Impurity density of Z2,,,,,,,,,
PHANTOMS,,,NIZ3,SIGNAL,data['PHANTOMS']['NIZ3'],dimensionless,Impurity density of Z3,,,,,,,,,
PHANTOMS,,,RHO_POLOIDAL,NUMERIC,data['PHANTOMS']['RHO_POLOIDAL'],dimensionless,Radial vector,,,,,,,,,
PHANTOMS,,,TE,SIGNAL,data['PHANTOMS']['TE'],eV,Electron temperature,,,,,,,,,
PHANTOMS,,,TI,SIGNAL,data['PHANTOMS']['TI'],eV,Ion temperature of main ion,,,,,,,,,
PHANTOMS,,,TIZ1,SIGNAL,data['PHANTOMS']['TIZ1'],eV,Ion temperature of impurity Z1 ,,,,,,,,,
PHANTOMS,,,TIZ2,SIGNAL,data['PHANTOMS']['TIZ2'],eV,Ion temperature of impurity Z2,,,,,,,,,
PHANTOMS,,,TIZ3,SIGNAL,data['PHANTOMS']['TIZ3'],dimensionless,Ion temperature of impurity Z3,,,,,,,,,
PROFILES,,,,STRUCTURE,,,,,,,,,,,,
PROFILES,PSI_NORM,,,STRUCTURE,,,,,,,,,,,,
PROFILES,PSI_NORM,,NE,SIGNAL,data['PROFILES']['PSI_NORM']['NE'],1 / meter ** 3,Electron density,,,,,,,,,
PROFILES,PSI_NORM,,NE_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['NE_ERR'],1 / meter ** 3,Electron density error,,,,,,,,,
PROFILES,PSI_NORM,,NFAST,SIGNAL,data['PROFILES']['PSI_NORM']['NFAST'],1 / meter ** 3,Density of fast ion,,,,,,,,,
PROFILES,PSI_NORM,,NFAST_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['NFAST_ERR'],1 / meter ** 3,Density of fast ion error,,,,,,,,,
PROFILES,PSI_NORM,,NI,SIGNAL,data['PROFILES']['PSI_NORM']['NI'],1 / meter ** 3,Ion density,,,,,,,,,
PROFILES,PSI_NORM,,NIZ1,SIGNAL,data['PROFILES']['PSI_NORM']['NIZ1'],1 / meter ** 3,Density of impurity Z1,,,,,,,,,
PROFILES,PSI_NORM,,NIZ1_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['NIZ1_ERR'],1 / meter ** 3,Density of impurity Z1 error,,,,,,,,,
PROFILES,PSI_NORM,,NIZ2,SIGNAL,data['PROFILES']['PSI_NORM']['NIZ2'],1 / meter ** 3,Density of impurity Z2,,,,,,,,,
PROFILES,PSI_NORM,,NIZ2_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['NIZ2_ERR'],1 / meter ** 3,Density of impurity Z2 error,,,,,,,,,
PROFILES,PSI_NORM,,NIZ3,SIGNAL,data['PROFILES']['PSI_NORM']['NIZ3'],dimensionless,Density of impurity Z3,,,,,,,,,
PROFILES,PSI_NORM,,NIZ3_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['NIZ3_ERR'],dimensionless,Density of impurity Z3 error,,,,,,,,,
PROFILES,PSI_NORM,,NI_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['NI_ERR'],1 / meter ** 3,Ion density error,,,,,,,,,
PROFILES,PSI_NORM,,NNEUTR,SIGNAL,data['PROFILES']['PSI_NORM']['NNEUTR'],1 / meter ** 3,Density of neutral main ion,,,,,,,,,
PROFILES,PSI_NORM,,NNEUTR_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['NNEUTR_ERR'],1 / meter ** 3,Density of neutral main ion error,,,,,,,,,
PROFILES,PSI_NORM,,P,SIGNAL,data['PROFILES']['PSI_NORM']['P'],dimensionless,Pressure,,,,,,,,,
PROFILES,PSI_NORM,,RHOP,NUMERIC,data['PROFILES']['PSI_NORM']['RHOP'],,Radial vector,,,,,,,,,
PROFILES,PSI_NORM,,RHOT,SIGNAL,data['PROFILES']['PSI_NORM']['RHOT'],,Radial vector,,,,,,,,,
PROFILES,PSI_NORM,,TE,SIGNAL,data['PROFILES']['PSI_NORM']['TE'],eV,Electron temperature,,,,,,,,,
PROFILES,PSI_NORM,,TE_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['TE_ERR'],eV,Electron temperature error,,,,,,,,,
PROFILES,PSI_NORM,,TI,SIGNAL,data['PROFILES']['PSI_NORM']['TI'],eV,Ion temperature of main ion,,,,,,,,,
PROFILES,PSI_NORM,,TIZ1,SIGNAL,data['PROFILES']['PSI_NORM']['TIZ1'],eV,Ion temperature of impurity Z1,,,,,,,,,
PROFILES,PSI_NORM,,TIZ1_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['TIZ1_ERR'],eV,Ion temperature of impurity Z1 error,,,,,,,,,
PROFILES,PSI_NORM,,TIZ2,SIGNAL,data['PROFILES']['PSI_NORM']['TIZ2'],eV,Ion temperature of impurity Z2,,,,,,,,,
PROFILES,PSI_NORM,,TIZ2_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['TIZ2_ERR'],eV,Ion temperature of impurity Z2 error,,,,,,,,,
