£
£  KB1 V06 - MkGB-SR simply extended septum chord onto replacement plate
£
*Bolometry/KB1/MkGB-SR/kb1/54550/63446
34 5 lines
'KB1/LOHC/ 08'    6.166900   -0.773800    2.177200    1.767000  147.509600
'KB1/LOHC/ 09'    6.149800   -0.796800    2.352300    1.953800  144.083600
'KB1/LOHC/ 10'    6.132100   -0.817700    2.652500    2.020000  140.801900
£
£  KB1 V06 - updated 10/12/97 from C. Ingesson
£
*Bolometry/KB1/Mk2A/kb1/35779/45155
34 5 lines
'KB1/VERC/ 01'    2.877200    3.163500    2.877200    3.163500  294.375200
'KB1/VERC/ 02'    2.904000    3.174600    3.879700    0.582200  290.625200
'KB1/VERC/ 03'    2.931400    3.183900    3.880700    0.054700  286.875700
'KB1/VERC/ 04'    2.959400    3.191400    3.783700   -0.343800  283.124300
'KB1/VERC/ 05'    2.987800    3.197100    3.628000   -0.680400  279.374700
'KB1/VERC/ 06'    3.016600    3.200900    3.427300   -0.969000  275.624800
'KB1/VERC/ 07'    3.045500    3.202800    3.190400   -1.224900  271.874400
'KB1/VERC/ 08'    3.074500    3.202800    2.921100   -1.484700  268.125600
'KB1/VERC/ 09'    3.103400    3.200900    2.627100   -1.635700  264.375200
'KB1/VERC/ 10'    3.132200    3.197100    2.368200   -1.430300  260.625300
'KB1/VERC/ 11'    3.160600    3.191400    2.145600   -1.161800  256.875700
'KB1/VERC/ 12'    3.188600    3.183900    1.991100   -0.763400  253.124300
'KB1/VERC/ 13'    3.216100    3.174600    1.881000   -0.372500  249.374800
'KB1/VERC/ 14'    3.242800    3.163500    1.819000    0.021000  245.624800
'KB1/UPHC/ 01'    6.733200    0.813600    1.903900   -0.481800  195.016400
'KB1/UPHC/ 02'    6.728400    0.840600    1.942400   -0.606500  196.823400
'KB1/UPHC/ 03'    6.721500    0.868700    1.986200   -0.736600  198.726700
'KB1/UPHC/ 04'    6.713300    0.895500    2.022800   -0.865000  200.573400
'KB1/UPHC/ 05'    6.703200    0.921700    2.072000   -0.989200  202.422100
'KB1/UPHC/ 06'    6.691500    0.947300    2.124500   -1.112400  204.275200
