cluster,count,mean_norm,trace_cov
0,22,3461.4514271820476,37269.92035990983
1,19,2354.251418100887,20241.144882561333
2,11,2665.3834767659487,34050.3520334357
3,9,1983.4010279140618,49215.282397675815
4,20,3187.495320670355,97628.42969300548
5,9,3746.8694850916445,107878.63687155001
6,14,2046.4686501048518,27129.354095410003
7,26,2578.7792890011788,55175.24186168142
8,5,1638.912423855067,38442.559918723215
9,33,2942.1757407192486,37195.90885112309
