6.951595416306791219e+19,7.021108300633394381e+19,6.973120335541436416e+19,6.740139978880817562e+19,6.259310789719490560e+19,5.492993846210776269e+19,4.426438540161082982e+19,3.914733305273201459e+19,3.103208401872198042e+19,2.488910595726770176e+19,2.127934551160468275e+19,1.699415617251049472e+19,1.435716225124322509e+19,1.260631642784713933e+19,1.011728598535294157e+19,9.776637491858636800e+18,9.624666293202321408e+18,9.030693619203309568e+18,1.176164190857566618e+19,0.000000000000000000e+00
6.776079055750955008e+19,6.545088375331959603e+19,5.957200178778734592e+19,5.123854367612888678e+19,4.172922824730817331e+19,3.237716717051523891e+19,2.446550151048095334e+19,2.194946486338532147e+19,1.872375723223469261e+19,1.694063194647035904e+19,1.574759915817061581e+19,1.370162132413526835e+19,1.186192616512185958e+19,1.046606316831139430e+19,7.646536572937961472e+18,6.955822268857450496e+18,6.331249636501618688e+18,5.533348341875736576e+18,7.091375010132000768e+18,0.000000000000000000e+00
9.693579503887135539e+19,9.686767809450737664e+19,9.486703312488523366e+19,9.049416103201079296e+19,8.308752525186983526e+19,7.208936112787764019e+19,5.702161859646324736e+19,4.976721679825764352e+19,3.817037738903443866e+19,2.969406852767206605e+19,2.547848597119749325e+19,2.208768007206653133e+19,2.118907120891776205e+19,2.091448137402023936e+19,2.162798745463291904e+19,2.184423280451413606e+19,2.237214791942799360e+19,2.070311785576634778e+19,2.623568444487473562e+19,0.000000000000000000e+00
7.462896470720302285e+19,7.409193683991815782e+19,7.117145803468465766e+19,6.587753384731528397e+19,5.860479219515837645e+19,5.012169494900611482e+19,4.153922823998196941e+19,3.833280164473602048e+19,3.390639652972842189e+19,3.084574318609301504e+19,2.835077757983208243e+19,2.349609729264294298e+19,1.889395943319116186e+19,1.537703735133103718e+19,8.126590496450543616e+18,6.407828972108775424e+18,4.587971751639515136e+18,3.199392744485158912e+18,3.892094690710781952e+18,0.000000000000000000e+00
6.370202694645815706e+19,6.424883167113720627e+19,6.333486482957166182e+19,6.026102614249596518e+19,5.457495893405702554e+19,4.623651783570148557e+19,3.563030541775562342e+19,3.087731896101948621e+19,2.363240594816158925e+19,1.857045672402039603e+19,1.589325696106024141e+19,1.316274297878085632e+19,1.176415869069164544e+19,1.090558084688694477e+19,9.833281032386772992e+18,9.651533959338655744e+18,9.580590170579664896e+18,8.742064670086529024e+18,1.108276934472630272e+19,0.000000000000000000e+00
9.705859729355440128e+19,9.293688004474306560e+19,8.253922958942352179e+19,6.812119727495498957e+19,5.222476162577884774e+19,3.739415296615016038e+19,2.596340578341879808e+19,2.277600733640314061e+19,1.907293353791402803e+19,1.752564030216811315e+19,1.654774785456367206e+19,1.469896743096995021e+19,1.287505246283838259e+19,1.145223603798461645e+19,8.380790437966774272e+18,7.562878031715368960e+18,6.791421641004941312e+18,5.812678171400601600e+18,7.383015521597259776e+18,0.000000000000000000e+00
1.045603716158235607e+20,1.013784817220630610e+20,9.290547799265378304e+19,8.038184703823865446e+19,6.541998747657909043e+19,4.989563535833536922e+19,3.582326970843031142e+19,3.101463476918917530e+19,2.460536818562708275e+19,2.100429827987000525e+19,1.908377912061041050e+19,1.671644372459008819e+19,1.505801625155508634e+19,1.388004347402099098e+19,1.175412234855330611e+19,1.122886145470889984e+19,1.084817754382401536e+19,9.775784270835482624e+18,1.242222849454348698e+19,0.000000000000000000e+00
6.375643078180051354e+19,6.331318685831843021e+19,6.131588000599821517e+19,5.777422550958289715e+19,5.268258947149175194e+19,4.610148901171757056e+19,3.805226345193222963e+19,3.440623891376190259e+19,2.866965794211967795e+19,2.431951715263787827e+19,2.164821846858399744e+19,1.821641947743466291e+19,1.587156799469073203e+19,1.424793566662832947e+19,1.155758134655346278e+19,1.101340445466479821e+19,1.061321080945665638e+19,9.603475405600194560e+18,1.220538830887164314e+19,0.000000000000000000e+00
4.573755066292371456e+19,4.548910941355796070e+19,4.417296760683102208e+19,4.178893612674292122e+19,3.832664877766698598e+19,3.382181989629663642e+19,2.828217904937513779e+19,2.576331006032635494e+19,2.179151781903204352e+19,1.864082326917480448e+19,1.646645876089893683e+19,1.334369950296860262e+19,1.110818455600234496e+19,9.557393773768474624e+18,7.309768805733892096e+18,7.052589737462202368e+18,6.946338981067882496e+18,6.320449133781975040e+18,7.726507901916807168e+18,0.000000000000000000e+00
4.972382127333258035e+19,5.003099843385412813e+19,4.944442657262167654e+19,4.741184738728240742e+19,4.358773275173794611e+19,3.792188336311055155e+19,3.064576840927962726e+19,2.735815827348520960e+19,2.231700301324851610e+19,1.865516529884751462e+19,1.648800369124520755e+19,1.378408469621846835e+19,1.198949590222294221e+19,1.075671906711397990e+19,8.786539365674254336e+18,8.415701031660290048e+18,8.178700200781545472e+18,7.503807869024731136e+18,9.641795584851443712e+18,0.000000000000000000e+00
5.291044786318553907e+19,5.320495864975510733e+19,5.241989415338351002e+19,5.016465946537308979e+19,4.611008719264677888e+19,4.012068671633699635e+19,3.223719494225284301e+19,2.857763981399110451e+19,2.285846631043982950e+19,1.864555556722075238e+19,1.623667292532165837e+19,1.344447744023566746e+19,1.173804638904359322e+19,1.060474347041115341e+19,8.872986818140700672e+18,8.541733101749927936e+18,8.304553050475855872e+18,7.509166888698511360e+18,9.507684853076721664e+18,0.000000000000000000e+00
3.814227387182848410e+19,3.644332389775179776e+19,3.454066080732728525e+19,3.246054753529600410e+19,3.022434099551587533e+19,2.785852622407676723e+19,2.538813690171988378e+19,2.437195286216651571e+19,2.283247825360571597e+19,2.146109918172256666e+19,2.010104727862876570e+19,1.733924559346938675e+19,1.479027087654046925e+19,1.286127998018886042e+19,9.304707310007877632e+18,8.607426722486288384e+18,8.155472467888963584e+18,7.673044149016199168e+18,1.016837809167243674e+19,0.000000000000000000e+00
4.893999702607711437e+19,4.824925743322916454e+19,4.611035107543744512e+19,4.260888152999408435e+19,3.787032066581436826e+19,3.210984950552382669e+19,2.558383457830122291e+19,2.280967438244564173e+19,1.860303085550488781e+19,1.559579398577009459e+19,1.381714261281918157e+19,1.162975109077742387e+19,1.021840367171298918e+19,9.259728488338817024e+18,7.841957722344914944e+18,7.616931672604278784e+18,7.560244701366845440e+18,7.109539491978674176e+18,9.251076431339847680e+18,0.000000000000000000e+00
6.745273818573229261e+19,6.699262775388012544e+19,6.460166495249052467e+19,6.010609615804930458e+19,5.348761230293073920e+19,4.497883486320014131e+19,3.502510343150213530e+19,3.074706421652337459e+19,2.428285723594457088e+19,1.964589784324112384e+19,1.684669407103968870e+19,1.333399301431859610e+19,1.107682538486654566e+19,9.550438263211163648e+18,7.542649766543360000e+18,7.406765522513035264e+18,7.577390485690384384e+18,7.651017082821148672e+18,1.039765485336605491e+19,0.000000000000000000e+00
6.461349569760539443e+19,6.438401882479552102e+19,6.242972926540041421e+19,5.847466279498783130e+19,5.238576971050385408e+19,4.428664831305003827e+19,3.452846942239850496e+19,3.025217183383814144e+19,2.373523447461445632e+19,1.899065708280754995e+19,1.611595644419650355e+19,1.259395571812768154e+19,1.046734519886938112e+19,9.068754863466217472e+18,7.665795068854272000e+18,7.812726655964676096e+18,8.425184319449858048e+18,8.997453183672385536e+18,1.251977166860163482e+19,0.000000000000000000e+00
6.990061170897557914e+19,7.352676587300873830e+19,7.432221855523956326e+19,7.184311890176743834e+19,6.585057822024872755e+19,5.646144381039044198e+19,4.403449951047542374e+19,3.829783277692623258e+19,2.936661197468781773e+19,2.278829108030865408e+19,1.900563682922437018e+19,1.472755913133863731e+19,1.232574634920614298e+19,1.079725916034170880e+19,9.172696645442207744e+18,9.201765533857349632e+18,9.571742400510951424e+18,9.595323626391863296e+18,1.286185612428181504e+19,0.000000000000000000e+00
8.857964740526211072e+19,8.609227062825608806e+19,7.930020027539075891e+19,6.936101978057474048e+19,5.761712728820626227e+19,4.551958787587991142e+19,3.451340171505146266e+19,3.069957191127321805e+19,2.553669191774869914e+19,2.259277592265752576e+19,2.107144545497828557e+19,1.916698576255398707e+19,1.766939155189517517e+19,1.656082104781792870e+19,1.387718914183528448e+19,1.290156828525382861e+19,1.180723755626790912e+19,9.615588725203402752e+18,1.149540506351435776e+19,0.000000000000000000e+00
8.202077907060156006e+19,8.046142529181057024e+19,7.501170030678533734e+19,6.635399621609573581e+19,5.546511475181145293e+19,4.357341711034430259e+19,3.208252444255033754e+19,2.789693216523498291e+19,2.211551750745856410e+19,1.863590625317539021e+19,1.676561718311911424e+19,1.455948228635865907e+19,1.312420619573893530e+19,1.213403989983363072e+19,1.050640205091124019e+19,1.014639445618668339e+19,9.950540648954200064e+18,9.124292845052624896e+18,1.170495328807079117e+19,0.000000000000000000e+00
5.940045598362173440e+19,5.850030340614756762e+19,5.573230927150055424e+19,5.137040590662480691e+19,4.574026425762106573e+19,3.924946448881287168e+19,3.233493272986910720e+19,2.953448541001665741e+19,2.538999287734756966e+19,2.231453570915578675e+19,2.005902394421516698e+19,1.633633155975164723e+19,1.319635175070708531e+19,1.088748508451700736e+19,6.431597114966409216e+18,5.427241071748841472e+18,4.326378968816025600e+18,3.191766531834904576e+18,3.687484922630504448e+18,0.000000000000000000e+00
7.224506516851025510e+19,7.132090805317848269e+19,6.891804853597634560e+19,6.508543247652592026e+19,5.985517880849779917e+19,5.331814237671836877e+19,4.553511737811061965e+19,4.206866068094215782e+19,3.665776824758671770e+19,3.256935520598071706e+19,2.998879481852067840e+19,2.644346575424533299e+19,2.380226070344368128e+19,2.191117107241313894e+19,1.838904170348386714e+19,1.748923657168407757e+19,1.676757761235143885e+19,1.493478958538371891e+19,1.885318954203322778e+19,0.000000000000000000e+00
8.613662932536708301e+19,8.670134729348585882e+19,8.626449812963092070e+19,8.406744519891589530e+19,7.941467262998177382e+19,7.187344783050801152e+19,6.123770912730985267e+19,5.610309098066568806e+19,4.787920579978487398e+19,4.193745815742290330e+19,3.959629443667853312e+19,3.895527915768512512e+19,3.842108363235341107e+19,3.732633069090242560e+19,3.017146987938263859e+19,2.679877953383091405e+19,2.566169099666404147e+19,2.492390989833332326e+19,3.261838023043999334e+19,0.000000000000000000e+00
8.424736928168515994e+19,8.454188886434775040e+19,8.364582207208239923e+19,8.097575044300511642e+19,7.599845481810965299e+19,6.839088988506239795e+19,5.796496438872296653e+19,5.297834490522396262e+19,4.499393335687276134e+19,3.917612266519370138e+19,3.666688319898098074e+19,3.465793911559238451e+19,3.230227503550090445e+19,2.946739101146651034e+19,2.029518144967540736e+19,1.783049529413179802e+19,1.913154410474425549e+19,2.253235336066472346e+19,3.149558534443420877e+19,0.000000000000000000e+00
7.677887057931901338e+19,7.571128876921362842e+19,7.251291499712951091e+19,6.748054703382200320e+19,6.095796258287806054e+19,5.337792942099031654e+19,4.519769045368569856e+19,4.184249993520165683e+19,3.683802658189082624e+19,3.299087277969794662e+19,3.001628041019182285e+19,2.506856604613004493e+19,2.108237899860489011e+19,1.819318569722812826e+19,1.351879453066867507e+19,1.282685317161156608e+19,1.260394698028928205e+19,1.199126941447854490e+19,1.532699747763932365e+19,0.000000000000000000e+00
7.499220816464812442e+19,7.452976237009856102e+19,7.228307748450572698e+19,6.816337014294996582e+19,6.223733672077216973e+19,5.479727138910031053e+19,4.632732870006276096e+19,4.276176642281308160e+19,3.743903942884248781e+19,3.342947676411081523e+19,3.045138354958185267e+19,2.535187280921257574e+19,2.089809425271986586e+19,1.756727440946547917e+19,1.101299763536252109e+19,9.515105457052581888e+18,8.020593727242240000e+18,6.615250191421276160e+18,8.359778221004161024e+18,0.000000000000000000e+00
8.593934175497197978e+19,8.558001255892176077e+19,8.303580422489925222e+19,7.809300687683688858e+19,7.070740695315854131e+19,6.112573486313714483e+19,4.985052459527097549e+19,4.498820710031530394e+19,3.764019728016736256e+19,3.216612251063340237e+19,2.843904857233319526e+19,2.278990296435497370e+19,1.828159852672922419e+19,1.501124632544437862e+19,8.794752717533741056e+18,7.403556597827371008e+18,5.860202912243777536e+18,4.289148405587902464e+18,4.943012302585593856e+18,0.000000000000000000e+00
8.192250911935745229e+19,8.197111632939817370e+19,8.046519881571709747e+19,7.688357047456235520e+19,7.073469683175994163e+19,6.174554715990052045e+19,4.979770405667261645e+19,4.417502149455170765e+19,3.527047704342639411e+19,2.854541972525075661e+19,2.470042316487157350e+19,2.068542011660566528e+19,1.866577558605555302e+19,1.749277370059063296e+19,1.605457840659916390e+19,1.570672371389641523e+19,1.520115727232873267e+19,1.270399594134713139e+19,1.479651170453972582e+19,0.000000000000000000e+00
