sample_idx,pulse,removed_as_outlier,ne_max_abs_robust_z,te_max_abs_robust_z,ne_bad_count,te_bad_count,ne_bad_fraction,te_bad_fraction
0,11298,True,18.101484016251916,487699427296.56116,4,1,0.03125,0.0078125
1,12426,False,1.4406648300969795,3.2634238588051514,0,0,0.0,0.0
2,12442,False,11.847787261962068,5.252136769664578,2,0,0.015625,0.0
3,12444,False,2.469077677916632,6.299589054858472,0,0,0.0,0.0
4,12491,False,1.2276642316786524,0.820467838424241,0,0,0.0,0.0
5,12492,True,20.487271388386063,1.448116195795294,5,0,0.0390625,0.0
6,12500,False,1.0341758028618961,3.5503331937125773,0,0,0.0,0.0
7,12513,True,1.5107831481203373,64559964319.64106,0,1,0.0,0.0078125
8,12514,False,3.755756287739161,2.3241529846192424,0,0,0.0,0.0
9,12519,False,3.365832920615756,1.3481101519421468,0,0,0.0,0.0
10,12855,False,3.4964538523412996,5.67493009437262,0,0,0.0,0.0
11,13640,True,3.0784648029202426,1214771445714.461,0,1,0.0,0.0078125
12,13663,True,3.5308635701087585,530409013695.9375,0,1,0.0,0.0078125
13,13672,True,2.5581892431755446,1327778893283.8374,0,1,0.0,0.0078125
14,13681,True,2.1453520329003095,1200811672866.8027,0,1,0.0,0.0078125
15,13686,True,3.8963919151143696,1189947031809.2214,0,1,0.0,0.0078125
16,13711,False,4.852988387432744,1.266880311358994,0,0,0.0,0.0
17,13734,False,3.6300310607060275,3.1014624682542267,0,0,0.0,0.0
18,13735,False,3.4637795290841416,2.4918453774226057,0,0,0.0,0.0
19,13751,True,0.7198673295602517,39039652819.22374,0,1,0.0,0.0078125
20,13764,True,17.187863860769642,1.4130581555917572,4,0,0.03125,0.0
21,13767,True,9.225501518846569,57061929363.76893,1,1,0.0078125,0.0078125
22,13778,False,2.5255421321902984,1.676762051429154,0,0,0.0,0.0
23,13781,True,0.8198246128973554,1350030650755.4692,0,1,0.0,0.0078125
24,13786,False,1.2724565163290815,0.6744907594765953,0,0,0.0,0.0
25,13789,False,0.6744907594765952,0.8323115936818811,0,0,0.0,0.0
26,13790,True,0.6744907594765952,273716662008.23843,0,1,0.0,0.0078125
27,13791,True,0.6744907594765952,322412884896.3158,0,1,0.0,0.0078125
28,13792,True,0.6744907594765952,1089966572136.688,0,1,0.0,0.0078125
29,13793,False,0.7220700367553573,0.8507207711666721,0,0,0.0,0.0
30,13831,True,20.493058272079388,7.158663003438652,4,0,0.03125,0.0
31,13834,True,7.709885509957213,250267645583.59598,0,1,0.0,0.0078125
32,13853,False,0.6744907594765952,0.9804870347217163,0,0,0.0,0.0
33,13880,False,3.9922189016686525,1.135130722694501,0,0,0.0,0.0
34,13883,True,5.291165140480703,876117521301.7059,0,1,0.0,0.0078125
35,13888,False,3.602021862068495,2.246606037379469,0,0,0.0,0.0
36,14261,True,1.6417512821490219,2062988236222.884,0,1,0.0,0.0078125
