sample_idx,pulse,removed_as_outlier,ne_max_abs_robust_z,te_max_abs_robust_z,ne_bad_count,te_bad_count,ne_bad_fraction,te_bad_fraction
0,11226,True,0.5726846275203429,3025863361345.778,0,1,0.0,0.0078125
1,11298,False,3.7486828129324845,1.900149602638428,0,0,0.0,0.0
2,11340,True,10.181114451713118,453190323989.0469,4,1,0.03125,0.0078125
3,11365,True,4.48082679436954,1365054912868.1772,0,1,0.0,0.0078125
4,11428,False,2.527081706694526,0.7647169570677103,0,0,0.0,0.0
5,11443,True,4.743239112135777,39699563899.053734,0,1,0.0,0.0078125
6,11475,False,1.0465428065649844,2.5643732929347007,0,0,0.0,0.0
7,11484,True,0.5977863220455123,7245275280534.474,0,2,0.0,0.015625
8,11512,False,2.1360434902332273,1.4868312012291054,0,0,0.0,0.0
9,11514,True,0.8590294472590286,2027319202245.5603,0,1,0.0,0.0078125
10,11567,True,1.9350002468005392,1550894042153.6306,0,1,0.0,0.0078125
11,11578,False,1.7710994573049041,1.8733959847021642,0,0,0.0,0.0
12,11579,True,1.5131291635094943,3564529825475.845,0,1,0.0,0.0078125
13,12135,True,3.014420667163461,271087460361.5749,0,1,0.0,0.0078125
14,12157,False,1.6267898025873486,1.2785854958160159,0,0,0.0,0.0
15,12158,False,1.6267898025873486,1.2209392793018958,0,0,0.0,0.0
16,12159,True,1.4112051778055617,663941469041.9857,0,1,0.0,0.0078125
17,12196,False,0.8501344952975898,1.7431245423690291,0,0,0.0,0.0
18,12235,True,2.422262467580978,810045052938.3854,0,1,0.0,0.0078125
19,12240,True,1.7486868431497857,533935280121.50006,0,1,0.0,0.0078125
20,12264,True,0.7716089193238964,2704198328602.5117,0,1,0.0,0.0078125
21,12277,True,0.9181005558213077,771554587711.6775,0,1,0.0,0.0078125
22,12278,True,2.361160073254566,4019371559146.1543,0,1,0.0,0.0078125
23,12325,True,1.4470269867874948,1851156078561.4429,0,1,0.0,0.0078125
24,12334,True,1.9106104370353154,1802388978168.483,0,1,0.0,0.0078125
25,12424,True,2.1055615314764045,1720547370545.2817,0,1,0.0,0.0078125
26,12426,False,1.0229385319617976,2.179433568382464,0,0,0.0,0.0
27,12434,False,1.1645807175559222,0.488123091219795,0,0,0.0,0.0
28,12442,False,2.2754604346625373,2.0677312853233762,0,0,0.0,0.0
29,12444,False,1.5315860314778307,2.517448755677693,0,0,0.0,0.0
30,12489,True,1.2805385356957448,2207958503691.2397,0,1,0.0,0.0078125
31,12491,False,1.3592687799492413,1.2882938667360277,0,0,0.0,0.0
32,12492,False,4.310717635617296,2.010500502320956,0,0,0.0,0.0
33,12494,True,2.610411334434639,1059122193636.3674,0,1,0.0,0.0078125
34,12500,False,0.6825780913925135,2.54513741178662,0,0,0.0,0.0
35,12511,False,1.4792140574027055,1.163402420147284,0,0,0.0,0.0
36,12513,False,1.0286759516080588,1.253450781963084,0,0,0.0,0.0
37,12514,False,2.3604750878186644,1.7422796764774955,0,0,0.0,0.0
38,12516,False,2.3030962815644185,1.4501140502309322,0,0,0.0,0.0
39,12519,False,1.991438728116677,1.8126716556557128,0,0,0.0,0.0
40,12525,False,1.4468546274305258,1.677025856692802,0,0,0.0,0.0
41,12839,False,4.670359247263017,2.0402475881731124,0,0,0.0,0.0
42,12855,False,2.094469255590331,2.2587722484488957,0,0,0.0,0.0
43,12857,False,0.9778544381472675,1.3208523601783144,0,0,0.0,0.0
44,12867,True,1.599497928488306,1759825327868.2126,0,1,0.0,0.0078125
45,13130,False,1.2256413022759707,2.2853165804523616,0,0,0.0,0.0
46,13131,True,2.815700511739205,962886944740.8378,0,1,0.0,0.0078125
47,13132,False,6.7782337011076,2.4808912359788096,0,0,0.0,0.0
48,13135,True,6.098582463779456,9025318105098.9,0,2,0.0,0.015625
49,13320,True,1.162279555535009,363256539569.02264,0,1,0.0,0.0078125
50,13321,True,0.6706548108619238,2800106085634.8687,0,1,0.0,0.0078125
51,13322,True,1.793359684231215,660583250245.6968,0,1,0.0,0.0078125
52,13326,True,0.6744907594765952,721098890063.992,0,1,0.0,0.0078125
53,13327,True,0.9744403512885111,1562708192519.3904,0,1,0.0,0.0078125
54,13345,False,3.1386298501374483,1.9255981836290408,0,0,0.0,0.0
55,13368,False,1.2433046543672235,1.024490483916288,0,0,0.0,0.0
56,13379,False,2.620327541791425,1.1647288119275807,0,0,0.0,0.0
57,13443,False,0.8074871697410269,0.8522080476779766,0,0,0.0,0.0
58,13473,False,2.266046634268656,2.9810322020329614,0,0,0.0,0.0
