pulse,t
11027,0.1
11030,0.1
11032,0.1
11033,0.09436397924406814
11086,0.0929309792755394
11088,0.09633697494252014
11089,0.09279698058350372
11090,0.09639597609026718
11092,0.09580197855217742
11093,0.09656897857172775
11096,0.09781897737963485
11141,0.0938549779294281
11144,0.09552897437794494
11147,0.09021397604925918
11151,0.09272697492821502
11174,0.0934039793847351
11208,0.09894698038084793
11209,0.09479697718603897
11211,0.0942819781540184
11215,0.09105297847969818
11217,0.09778597875817108
11224,0.09620297625048446
11225,0.09502097889168548
11226,0.09239897801859664
11227,0.09279497637732315
11228,0.09251297935231018
11229,0.097558974468544
11236,0.09529498144371795
11237,0.09154298081381607
11238,0.09699797555191803
11239,0.0984129749177246
11240,0.0919129766462593
11241,0.09413097723706054
11242,0.09773197695000457
11243,0.0966349758146553
11244,0.09542797430737304
11261,0.09733797534687805
11263,0.09442097618563461
11266,0.09448597505076217
11268,0.09750898107273864
11269,0.09930397495014953
11270,0.09168498142941284
11271,0.09617897793038177
11274,0.09324297978861618
11291,0.09350997879488754
11292,0.0912419781088829
11293,0.09959997981786728
11294,0.09540998190641403
11296,0.09742598235607147
11297,0.09481298178434372
11298,0.09147797524929047
11305,0.09536997898800659
11306,0.09159798099978256
11308,0.09929797723276901
11310,0.09523197933419036
11312,0.09872797801478195
11313,0.09511097520589828
11314,0.09684697538614273
11315,0.09120697528123856
11316,0.09659897536039352
11317,0.09399197995662689
11318,0.09798597544431686
11319,0.09888997673988342
11320,0.09720997512340546
11327,0.0926249772310257
11328,0.09609498083591461
11332,0.0995669811964035
11333,0.09485398232936859
11334,0.09251997619867325
11335,0.09893197566270828
11336,0.09706097841262817
11337,0.09738297760486603
11338,0.0994119793176651
11339,0.09121497720479965
11340,0.09614697843790054
11341,0.09104298055171967
11342,0.0941859781742096
11352,0.09175797551870346
11354,0.0967789813876152
11355,0.09412197768688202
11358,0.09636598080396652
11359,0.09685298055410385
11362,0.09490897506475449
11364,0.09795597940683365
11365,0.09963998198509216
11367,0.09374197572469711
11375,0.09546598047018051
11376,0.09680698066949844
11377,0.09287397563457489
11378,0.09466497600078583
11379,0.09553097933530807
11380,0.09337098151445389
11381,0.09981697797775269
11382,0.09384697675704956
11383,0.09249597787857056
11384,0.09681098163127899
11385,0.0915689766407013
11386,0.0989149808883667
11387,0.09971097856760025
11388,0.0934319794178009
11389,0.09302297979593277
11415,0.09999597817659378
11416,0.09999697655439377
11417,0.09999798238277435
11418,0.09999697655439377
11419,0.09999597817659378
11420,0.09999697655439377
11421,0.09999697655439377
11424,0.09899798035621643
11425,0.09799697995185852
11426,0.09699797630310059
11427,0.09599697589874268
11428,0.09404497593641281
11436,0.09999697655439377
11438,0.09999697655439377
11439,0.09899597615003586
11440,0.0969969779253006
11442,0.0929979756474495
11443,0.09099797904491425
11444,0.09029798209667206
11445,0.09020498394966125
11446,0.09020598232746124
11447,0.09020498394966125
11448,0.09020498394966125
11449,0.09020598157627868
11450,0.09020498394966125
11468,0.09999697655439377
11469,0.09999697655439377
11470,0.09999697655439377
11471,0.09999798238277435
11472,0.09999697655439377
11473,0.09999798238277435
11475,0.09999697655439377
11476,0.09999697655439377
11477,0.09999698400497437
11478,0.09999697655439377
11480,0.09999798238277435
11481,0.09999597817659378
11482,0.09999697655439377
11483,0.09999697655439377
11484,0.09999697655439377
11512,0.09999798238277435
11514,0.09999597817659378
11515,0.09999697655439377
11516,0.09999697655439377
11519,0.09999697655439377
11522,0.09999697655439377
11523,0.09999597817659378
11540,0.09399797767400742
11547,0.09499698132276535
11548,0.09599697589874268
11549,0.09699797630310059
11553,0.09399697929620743
11555,0.0954979807138443
11556,0.09649697691202164
11557,0.09649597853422165
11558,0.09399697929620743
11559,0.09449698030948639
11560,0.09499698132276535
11567,0.09599697589874268
11568,0.09599697589874268
11569,0.0969969779253006
11570,0.09499698132276535
11571,0.09499698132276535
11573,0.09499797970056534
11574,0.09499698132276535
11575,0.09499698132276535
11576,0.09499698132276535
11577,0.09499797970056534
11578,0.09599798172712326
11579,0.0969969779253006
11581,0.09899798035621643
11582,0.09899698197841644
11804,0.09000398218631744
11805,0.09000398218631744
11807,0.09000297635793686
11808,0.09000498056411743
11822,0.09000498056411743
11823,0.09000498056411743
11825,0.09000398218631744
11844,0.09000398218631744
11845,0.09000398218631744
11846,0.09000498056411743
11864,0.09000398218631744
11866,0.09000398218631744
11867,0.09000498056411743
11869,0.09000398218631744
11873,0.09000398218631744
11874,0.09000398218631744
11875,0.09000398218631744
11896,0.09000398218631744
11910,0.09000398218631744
11911,0.09000298380851746
11954,0.09000398218631744
11955,0.09000398218631744
11957,0.09000398218631744
11958,0.09000398218631744
12038,0.0961999811170845
12040,0.09598597809059906
12043,0.09797997697575378
12045,0.09956698044522094
12046,0.09747698082907486
12047,0.0958579771159439
12062,0.0995079792974739
12063,0.09411297663433837
12065,0.09518197848780441
12104,0.09999697655439377
12106,0.09999798238277435
12107,0.09999798238277435
12108,0.09999697655439377
12110,0.09999697655439377
12111,0.09999798238277435
12112,0.09999697655439377
12114,0.09999697655439377
12115,0.09999597817659378
12124,0.09999697655439377
12135,0.09999798238277435
12154,0.09999698400497437
12155,0.09999697655439377
12156,0.09999597817659378
12157,0.09999697655439377
12158,0.09999697655439377
12159,0.09999697655439377
12189,0.09999697655439377
12191,0.09999798238277435
12194,0.09999697655439377
12195,0.09999798238277435
12196,0.09999798238277435
12198,0.09999697655439377
12215,0.09999697655439377
12218,0.09999798238277435
12220,0.09999697655439377
12221,0.09999697655439377
12233,0.09999798238277435
12234,0.09999697655439377
12235,0.09999697655439377
12236,0.09999697655439377
12237,0.09999698400497437
12238,0.09999697655439377
12239,0.09999697655439377
12240,0.09999697655439377
12241,0.09999697655439377
12262,0.09999798238277435
12263,0.09999697655439377
12264,0.09999697655439377
12265,0.09999697655439377
12277,0.09999697655439377
12278,0.09999798238277435
12294,0.09999798238277435
12295,0.09999798238277435
12296,0.09999798238277435
12297,0.09999798238277435
12298,0.09999697655439377
12299,0.09999697655439377
12300,0.09999697655439377
12301,0.09999697655439377
12325,0.09999697655439377
12326,0.09999697655439377
12327,0.09999597817659378
12328,0.09999697655439377
12329,0.09999798238277435
12330,0.09999697655439377
12331,0.09999697655439377
12332,0.09999798238277435
12333,0.09999697655439377
12334,0.09999798238277435
12416,0.09999697655439377
12417,0.09999697655439377
12421,0.09999697655439377
12422,0.09999697655439377
12424,0.09999697655439377
12426,0.09999697655439377
12429,0.09999697655439377
12431,0.09999697655439377
12433,0.09999798238277435
12434,0.09999798238277435
12441,0.09999697655439377
12442,0.09999697655439377
12443,0.09999798238277435
12444,0.09999597817659378
12445,0.09999697655439377
12447,0.09999697655439377
12448,0.09999697655439377
12449,0.09999697655439377
12450,0.09999697655439377
12451,0.09999697655439377
12452,0.09999597817659378
12453,0.09999697655439377
12465,0.09999597817659378
12480,0.09999697655439377
12489,0.09999697655439377
12491,0.09999798238277435
12492,0.09999697655439377
12494,0.09999798238277435
12500,0.09999697655439377
12503,0.09999697655439377
12511,0.09999697655439377
12513,0.09999697655439377
12514,0.09999697655439377
12516,0.09999697655439377
12517,0.09999597817659378
12518,0.09999697655439377
12519,0.09999697655439377
12522,0.09999798238277435
12525,0.09999697655439377
12653,0.1000639796257019
12654,0.09002798050642014
12655,0.0900619775056839
12656,0.09008097648620605
12657,0.10005597770214081
12658,0.09009397774934769
12659,0.09000297635793686
12660,0.09001997858285904
12704,0.09999798238277435
12705,0.09999798238277435
12706,0.09999697655439377
12708,0.09999697655439377
12709,0.09999697655439377
12711,0.09999698400497437
12712,0.09999697655439377
12713,0.09999697655439377
12714,0.09999697655439377
12724,0.09999697655439377
12726,0.09999697655439377
12733,0.09999697655439377
12737,0.09999798238277435
12767,0.09999697655439377
12770,0.09999697655439377
12772,0.09999697655439377
12773,0.09999697655439377
12774,0.09999697655439377
12778,0.09999697655439377
12781,0.09999798238277435
12782,0.09999697655439377
12783,0.09999597817659378
12784,0.09999697655439377
12785,0.09999697655439377
12839,0.09999597817659378
12847,0.09999798238277435
12850,0.09999798238277435
12851,0.09999697655439377
12855,0.09999798238277435
12856,0.09999697655439377
12857,0.09999697655439377
12866,0.09999697655439377
12867,0.09999697655439377
12871,0.09999597817659378
13116,0.09999597817659378
13130,0.09999697655439377
13131,0.09999697655439377
13132,0.09999597817659378
13133,0.09999697655439377
13134,0.09999697655439377
13135,0.09999798238277435
13136,0.09999697655439377
13137,0.09999798238277435
13138,0.09999697655439377
13182,0.09999697655439377
13193,0.09999697655439377
13253,0.09999698400497437
13259,0.09999698400497437
13307,0.09999698400497437
13320,0.09999698400497437
13321,0.09999798238277435
13322,0.09999798238277435
13323,0.09999698400497437
13324,0.09999698400497437
13326,0.09999698400497437
13327,0.09999798238277435
13336,0.09999698400497437
13338,0.09999698400497437
13339,0.09999698400497437
13340,0.09999698400497437
13342,0.09999698400497437
13343,0.09999698400497437
13345,0.09999698400497437
13347,0.09999698400497437
13364,0.09999698400497437
13365,0.09999698400497437
13366,0.09999698400497437
13367,0.09999698400497437
13368,0.09999798238277435
13379,0.09999698400497437
13382,0.09999698400497437
13384,0.09999698400497437
13394,0.09999597817659378
13401,0.09999698400497437
13405,0.09999698400497437
13407,0.09999597817659378
13417,0.09999597817659378
13424,0.09999798238277435
13443,0.09999698400497437
13445,0.09999798238277435
13448,0.09999798238277435
13451,0.09999698400497437
13452,0.09999698400497437
13462,0.09999798238277435
13464,0.09999698400497437
13465,0.09999798238277435
13466,0.09999798238277435
13467,0.09999798238277435
13469,0.09999698400497437
13470,0.09999698400497437
13471,0.09999698400497437
13472,0.09999798238277435
13473,0.09999597817659378
13474,0.09999698400497437
13475,0.09999798238277435
13509,0.09999698400497437
13510,0.09999698400497437
13511,0.09999698400497437
13537,0.09999698400497437
13560,0.09999798238277435
13562,0.09999698400497437
13563,0.09999698400497437
13564,0.09999698400497437
13565,0.09999698400497437
13566,0.09999698400497437
13567,0.09999698400497437
13570,0.09999698400497437
13572,0.09999698400497437
13584,0.09999698400497437
13585,0.09999597817659378
13586,0.09999698400497437
13587,0.09999698400497437
13588,0.09999698400497437
13589,0.09999798238277435
13597,0.09999698400497437
13618,0.09999697655439377
13619,0.09999697655439377
13633,0.09999697655439377
13640,0.09999697655439377
13642,0.09999697655439377
13643,0.09999697655439377
13644,0.09999697655439377
13658,0.09999798238277435
13659,0.09999697655439377
13661,0.09999697655439377
13662,0.09999798238277435
13663,0.09999697655439377
13664,0.09999798238277435
13666,0.09999697655439377
13668,0.09999697655439377
13669,0.09999597817659378
13670,0.09999697655439377
13671,0.09999697655439377
13672,0.09999597817659378
13673,0.09999697655439377
13681,0.09999697655439377
13682,0.09999697655439377
13683,0.09999697655439377
13684,0.09999697655439377
13685,0.09999697655439377
13686,0.09999597817659378
13687,0.09999697655439377
13689,0.09999798238277435
13690,0.09999697655439377
13691,0.09999697655439377
13701,0.09999697655439377
13706,0.09999697655439377
13711,0.09999697655439377
13712,0.09999597817659378
13713,0.09999697655439377
13720,0.09999697655439377
13721,0.09999798238277435
13724,0.09999697655439377
13725,0.09999597817659378
13734,0.09999697655439377
13735,0.09999798238277435
13751,0.09999697655439377
13759,0.09999697655439377
13760,0.09999697655439377
13762,0.09999697655439377
13763,0.09999697655439377
13764,0.09999697655439377
13766,0.09999697655439377
13767,0.09999697655439377
13778,0.09999697655439377
13779,0.09999697655439377
13780,0.09999697655439377
13781,0.09999697655439377
13782,0.09999697655439377
13785,0.09999697655439377
13786,0.09999697655439377
13787,0.09999697655439377
13788,0.09999697655439377
13789,0.09999697655439377
13790,0.09999697655439377
13791,0.09999697655439377
13792,0.09999697655439377
13793,0.09999697655439377
13800,0.09999697655439377
13802,0.09999697655439377
13804,0.09999798238277435
13807,0.09999697655439377
13808,0.09499797970056534
13809,0.09499698132276535
13810,0.09499797970056534
13811,0.09499698132276535
13820,0.09999798238277435
13821,0.09999697655439377
13822,0.09999798238277435
13824,0.09999697655439377
13825,0.09999697655439377
13826,0.09999697655439377
13829,0.09999697655439377
13830,0.09999798238277435
13831,0.09999697655439377
13832,0.09999798238277435
13833,0.09999597817659378
13834,0.09999697655439377
13845,0.09999597817659378
13852,0.09999697655439377
13853,0.09999697655439377
13854,0.09999697655439377
13855,0.09999697655439377
13856,0.09999697655439377
13857,0.09999798238277435
13858,0.09999697655439377
13859,0.09999697655439377
13860,0.09999798238277435
13861,0.09999697655439377
13862,0.09999697655439377
13863,0.09999798238277435
13866,0.09999697655439377
13868,0.09999597817659378
13869,0.09999798238277435
13872,0.09999697655439377
13879,0.09999697655439377
13880,0.09999798238277435
13883,0.09999697655439377
13884,0.09999597817659378
13885,0.09999697655439377
13888,0.09999697655439377
13889,0.09999697655439377
13890,0.09999697655439377
13899,0.09999697655439377
13900,0.09999697655439377
13901,0.09999697655439377
13902,0.09999697655439377
13903,0.09999697655439377
13904,0.09999697655439377
13905,0.09999798238277435
13906,0.09999697655439377
13907,0.09999697655439377
13908,0.09999697655439377
13910,0.09999697655439377
13911,0.09999798238277435
13913,0.09999697655439377
13914,0.09999697655439377
13916,0.09999697655439377
13923,0.09499698132276535
14037,0.09999697655439377
14041,0.09999697655439377
14048,0.09999697655439377
14051,0.09999697655439377
14052,0.09999697655439377
14081,0.09999697655439377
14096,0.09999697655439377
14155,0.09999798238277435
14156,0.09999697655439377
14159,0.09999697655439377
14160,0.09999697655439377
14193,0.09999697655439377
14194,0.09999697655439377
14196,0.09999798238277435
14197,0.09999697655439377
14226,0.09999697655439377
14238,0.09999798238277435
14239,0.09999697655439377
14240,0.09999697655439377
14241,0.09249798208475113
14257,0.09199697524309158
14258,0.09199697524309158
14259,0.09199697524309158
14260,0.09199798107147217
14261,0.09199798107147217
14262,0.0919959768652916
14270,0.0919959768652916
14271,0.09199697524309158
14272,0.0919959768652916
14273,0.09199697524309158
14285,0.09599697589874268
14286,0.09699797630310059
14287,0.09649697691202164
14296,0.09649697691202164
14302,0.09649697691202164
14303,0.09649697691202164
14304,0.09649697691202164
14306,0.09649797528982162
14307,0.0969969779253006
14319,0.09674698114395142
14321,0.09674698114395142
14338,0.09999697655439377
14346,0.0969969779253006
14357,0.09899798035621643
14367,0.0929979756474495
14381,0.09999798238277435
14382,0.09999697655439377
14383,0.09999697655439377
14385,0.09999697655439377
14389,0.09999697655439377
14390,0.09999697655439377
14391,0.09999697655439377
14392,0.09999798238277435
14400,0.09999697655439377
14402,0.09999597817659378
14411,0.09999697655439377
14413,0.09999697655439377
14423,0.09999697655439377
14444,0.09999697655439377
14445,0.09999697655439377
14446,0.09999697655439377
14457,0.09999697655439377
14459,0.09999798238277435
14470,0.09999697655439377
14473,0.09999697655439377
14478,0.09999697655439377
14517,0.09999597817659378
14518,0.09999597817659378
14519,0.09999597817659378
14521,0.09999697655439377
14522,0.09999697655439377
14523,0.09999798238277435
14525,0.09999697655439377
14526,0.09999597817659378
14527,0.09999697655439377
14530,0.09999697655439377
14533,0.09999697655439377
14543,0.09999697655439377
14544,0.09999697655439377
14545,0.09999697655439377
14547,0.09999597817659378
14548,0.09999798238277435
14549,0.09999697655439377
14550,0.09999697655439377
14553,0.09999798238277435
14554,0.09999798238277435
14555,0.09999798238277435
14556,0.09999697655439377
14557,0.09999697655439377
14558,0.09999697655439377
14559,0.09999798238277435
14560,0.09999697655439377
14561,0.09999697655439377
14562,0.09999697655439377
14569,0.09999697655439377
14570,0.09999697655439377
14575,0.09999697655439377
14581,0.09999798238277435
14593,0.09999697655439377
14599,0.09999697655439377
14600,0.09999798238277435
14601,0.09999798238277435
14603,0.09999697655439377
14605,0.09999697655439377
14614,0.09999697655439377
14620,0.09999697655439377
14654,0.09999798238277435
14664,0.09799697995185852
14669,0.09799598157405853
14681,0.09999697655439377
14685,0.09999697655439377
14686,0.09799797832965851
14687,0.09899798035621643
14688,0.09699797630310059
14689,0.0969969779253006
14691,0.09599697589874268
