pulse,time_s
13501,0.05
13501,0.09000000000000001
13501,0.15000000000000002
13509,0.07
13509,0.08000000000000002
13509,0.09000000000000001
13509,0.1
13509,0.11000000000000001
13509,0.12000000000000002
13509,0.13000000000000003
13509,0.14
13509,0.15000000000000002
13510,0.060000000000000005
13510,0.08000000000000002
13510,0.09000000000000001
13510,0.1
13510,0.11000000000000001
13510,0.12000000000000002
13511,0.060000000000000005
13511,0.07
13511,0.08000000000000002
13511,0.09000000000000001
13511,0.1
13511,0.11000000000000001
13511,0.12000000000000002
13511,0.14
13511,0.15000000000000002
13513,0.12000000000000002
13537,0.07
13537,0.08000000000000002
13537,0.09000000000000001
13537,0.1
13537,0.11000000000000001
13537,0.12000000000000002
13537,0.13000000000000003
13537,0.14
13537,0.15000000000000002
13540,0.05
13545,0.05
13545,0.060000000000000005
13545,0.07
13547,0.13000000000000003
13547,0.15000000000000002
13548,0.05
13548,0.060000000000000005
13549,0.04
13549,0.07
13549,0.11000000000000001
13549,0.13000000000000003
13549,0.14
13549,0.15000000000000002
13550,0.13000000000000003
13550,0.14
13560,0.04
13560,0.07
13560,0.08000000000000002
13560,0.09000000000000001
13560,0.1
13560,0.11000000000000001
13560,0.12000000000000002
13560,0.14
13560,0.15000000000000002
13561,0.07
13561,0.08000000000000002
13561,0.09000000000000001
13561,0.11000000000000001
13561,0.12000000000000002
13561,0.14
13561,0.15000000000000002
13562,0.07
13562,0.08000000000000002
13562,0.09000000000000001
13562,0.1
13562,0.11000000000000001
13562,0.12000000000000002
13562,0.14
13563,0.04
13563,0.060000000000000005
13563,0.07
13563,0.08000000000000002
13563,0.09000000000000001
13563,0.1
13563,0.11000000000000001
13563,0.12000000000000002
13563,0.14
13563,0.15000000000000002
13564,0.04
13564,0.060000000000000005
13564,0.07
13564,0.08000000000000002
13564,0.09000000000000001
13564,0.1
13564,0.11000000000000001
13564,0.12000000000000002
13564,0.13000000000000003
13564,0.14
13564,0.15000000000000002
13565,0.04
13565,0.060000000000000005
13565,0.07
13565,0.08000000000000002
13565,0.09000000000000001
13565,0.1
13565,0.11000000000000001
13565,0.12000000000000002
13565,0.14
13566,0.04
13566,0.060000000000000005
13566,0.07
13566,0.09000000000000001
13566,0.1
13566,0.11000000000000001
13566,0.12000000000000002
13566,0.14
13567,0.04
13567,0.060000000000000005
13567,0.07
13567,0.08000000000000002
13567,0.09000000000000001
13567,0.1
13567,0.11000000000000001
13567,0.12000000000000002
13567,0.14
13569,0.05
13569,0.060000000000000005
13569,0.07
13569,0.14
13570,0.04
13570,0.05
13570,0.060000000000000005
13570,0.07
13570,0.09000000000000001
13570,0.1
13570,0.11000000000000001
13570,0.12000000000000002
13570,0.14
13571,0.05
13571,0.060000000000000005
13571,0.09000000000000001
13571,0.11000000000000001
13571,0.13000000000000003
13571,0.15000000000000002
13572,0.05
13572,0.060000000000000005
13572,0.07
13572,0.09000000000000001
13572,0.1
13572,0.12000000000000002
13572,0.14
13573,0.05
13573,0.060000000000000005
13573,0.07
13573,0.12000000000000002
13573,0.14
13574,0.05
13574,0.060000000000000005
13574,0.12000000000000002
13574,0.14
13575,0.05
13575,0.060000000000000005
13575,0.07
13575,0.12000000000000002
13575,0.14
13584,0.05
13584,0.08000000000000002
13584,0.09000000000000001
13584,0.1
13584,0.11000000000000001
13584,0.12000000000000002
13585,0.05
13585,0.09000000000000001
13585,0.1
13585,0.11000000000000001
13585,0.12000000000000002
13585,0.14
13586,0.05
13586,0.060000000000000005
13586,0.08000000000000002
13586,0.09000000000000001
13586,0.1
13586,0.11000000000000001
13586,0.12000000000000002
13586,0.13000000000000003
13586,0.14
13586,0.15000000000000002
13587,0.05
13587,0.060000000000000005
13587,0.07
13587,0.08000000000000002
13587,0.09000000000000001
13587,0.1
13587,0.11000000000000001
13587,0.12000000000000002
13587,0.13000000000000003
13587,0.14
13587,0.15000000000000002
13588,0.05
13588,0.09000000000000001
13588,0.1
13588,0.11000000000000001
13588,0.12000000000000002
13588,0.13000000000000003
13588,0.14
13588,0.15000000000000002
13589,0.05
13589,0.09000000000000001
13589,0.1
13589,0.11000000000000001
13589,0.12000000000000002
13589,0.14
13593,0.05
13593,0.060000000000000005
13593,0.11000000000000001
13593,0.12000000000000002
13593,0.13000000000000003
13593,0.14
13593,0.15000000000000002
13594,0.12000000000000002
13594,0.13000000000000003
13594,0.14
13594,0.15000000000000002
13597,0.05
13597,0.060000000000000005
13597,0.07
13597,0.08000000000000002
13597,0.09000000000000001
13597,0.1
13597,0.11000000000000001
13597,0.12000000000000002
13597,0.13000000000000003
13597,0.14
13597,0.15000000000000002
13598,0.04
13598,0.11000000000000001
13598,0.12000000000000002
