sample_idx,pulse,t_s,timepoint_index,n_timepoints_for_pulse
216,11375,0.041974250227212906,0,8
217,11375,0.059370528906583786,1,8
218,11375,0.07513590902090073,2,8
219,11375,0.08981402218341827,3,8
220,11375,0.10286123305559158,4,8
221,11375,0.11753933876752853,5,8
222,11375,0.13058654963970184,6,8
223,11375,0.14961373805999756,7,8
224,11385,0.041974250227212906,0,8
225,11385,0.059370528906583786,1,8
226,11385,0.07513590902090073,2,8
227,11385,0.08981402218341827,3,8
228,11385,0.10286123305559158,4,8
229,11385,0.11753933876752853,5,8
230,11385,0.13058654963970184,6,8
231,11385,0.14961373805999756,7,8
232,11387,0.041974250227212906,0,8
233,11387,0.059370528906583786,1,8
234,11387,0.07513590902090073,2,8
235,11387,0.08981402218341827,3,8
236,11387,0.10286123305559158,4,8
237,11387,0.11753933876752853,5,8
238,11387,0.13058654963970184,6,8
239,11387,0.14961373805999756,7,8
240,11418,0.041974250227212906,0,8
241,11418,0.059370528906583786,1,8
242,11418,0.07513590902090073,2,8
243,11418,0.08981402218341827,3,8
244,11418,0.10286123305559158,4,8
245,11418,0.11753933876752853,5,8
246,11418,0.13058654963970184,6,8
247,11418,0.14961373805999756,7,8
248,11421,0.041974250227212906,0,8
249,11421,0.059370528906583786,1,8
250,11421,0.07513590902090073,2,8
251,11421,0.08981402218341827,3,8
252,11421,0.10286123305559158,4,8
253,11421,0.11753933876752853,5,8
254,11421,0.13058654963970184,6,8
255,11421,0.14961373805999756,7,8
256,11425,0.041974250227212906,0,8
257,11425,0.059370528906583786,1,8
258,11425,0.07513590902090073,2,8
259,11425,0.08981402218341827,3,8
260,11425,0.10286123305559158,4,8
261,11425,0.11753933876752853,5,8
262,11425,0.13058654963970184,6,8
263,11425,0.14961373805999756,7,8
264,11427,0.041974250227212906,0,8
265,11427,0.059370528906583786,1,8
266,11427,0.07513590902090073,2,8
267,11427,0.08981402218341827,3,8
268,11427,0.10286123305559158,4,8
269,11427,0.11753933876752853,5,8
270,11427,0.13058654963970184,6,8
271,11427,0.14961373805999756,7,8
272,11428,0.041974250227212906,0,8
273,11428,0.059370528906583786,1,8
274,11428,0.07513590902090073,2,8
275,11428,0.08981402218341827,3,8
276,11428,0.10286123305559158,4,8
277,11428,0.11753933876752853,5,8
278,11428,0.13058654963970184,6,8
279,11428,0.14961373805999756,7,8
280,11438,0.041974250227212906,0,8
281,11438,0.059370528906583786,1,8
282,11438,0.07513590902090073,2,8
283,11438,0.08981402218341827,3,8
284,11438,0.10286123305559158,4,8
285,11438,0.11753933876752853,5,8
286,11438,0.13058654963970184,6,8
287,11438,0.14961373805999756,7,8
288,11440,0.041974250227212906,0,8
289,11440,0.059370528906583786,1,8
290,11440,0.07513590902090073,2,8
291,11440,0.08981402218341827,3,8
292,11440,0.10286123305559158,4,8
293,11440,0.11753933876752853,5,8
294,11440,0.13058654963970184,6,8
295,11440,0.14961373805999756,7,8
296,11442,0.04143061488866806,0,8
297,11442,0.05610872805118561,1,8
298,11442,0.07078684121370316,2,8
299,11442,0.08709584921598434,3,8
300,11442,0.10177396237850189,4,8
301,11442,0.11808297783136368,5,8
