count_level,loglik_brightness,loglik_emissivity,loglik_total
1.0,-3.2970352767759237,-3.4299580993396037,-6.726993376115527
2.0,-3.707888812528007,-4.1600446926976895,-7.867933505225697
5.0,-4.299249149907149,-4.723201078900283,-9.022450228807433
10.0,-5.284989732864507,-5.58523348573613,-10.870223218600637
20.0,-5.641877835496626,-5.977264288912253,-11.619142124408878
50.0,-5.394429207987304,-5.281613700147903,-10.676042908135209
100.0,-4.406763143627288,-3.015248237828869,-7.422011381456157
200.0,-2.814252474585785,-3.286330490228084,-6.100582964813869
500.0,-2.7962804002094606,-3.513751547202108,-6.310031947411568
1000.0,-2.8566771089878302,-3.5154505972586474,-6.372127706246477
